planar,macroscopic,gradient
4.556909950582622,2.384038523969731,-1.3395367505442124e-05
4.556888963131985,2.3746192998965716,-1.5167818607331185e-05
4.556879614945407,2.3660088619926936,-1.7137919133602963e-05
4.5568546872937175,2.3581211897247267,-1.8888346236423104e-05
4.556841838252934,2.350628540122015,-2.0851918590469865e-05
4.5568129834565365,2.3429478032605173,-2.257068883970703e-05
4.556796696875255,2.3344785325723607,-2.4500939046046e-05
4.556763981578444,2.3247929610132805,-2.6193340257663067e-05
4.556744310194739,2.313715184711545,-2.812052900225126e-05
4.55670774052044,2.301292232196563,-2.9775586623426165e-05
4.5566847590214925,2.287742024744082,-3.1648247065696467e-05
4.5566444440263085,2.2733589534192187,-3.3220004384659774e-05
4.556618319012723,2.258444844606682,-3.5016989254010866e-05
4.5565744100478005,2.24325832082446,-3.648709909054304e-05
4.556545344814542,2.2280222311487523,-3.8208724315147435e-05
4.55649799259917,2.212945879470842,-3.9595697736594104e-05
4.556466153419069,2.1982701132808713,-4.122889143731712e-05
4.556415534816296,2.1842762790949877,-4.249661058652876e-05
4.556381160197896,2.171273308161444,-4.4025569500227846e-05
4.556327483677295,2.1595267778846634,-4.5156389540945696e-05
4.556290847418814,2.149182185628715,-4.655594626878923e-05
4.5562343717847575,2.140178165342383,-4.754522174810205e-05
4.556195756975318,2.1322152921081035,-4.8827211288404726e-05
4.556136717362181,2.124758716614886,-4.966355883162521e-05
4.5560964298576545,2.117190229978606,-5.0813837149998875e-05
4.556035089687881,2.1090274403647853,-5.1508064429661715e-05
4.555993413728795,2.1000957233169273,-5.254782495045518e-05
4.55592999403798,2.0903221819668283,-5.3081464796100875e-05
4.555887250799203,2.0796209864777673,-5.396747865260565e-05
4.555822059080675,2.067957372218776,-5.433336517901566e-05
4.555778584068845,2.055306599085224,-5.508927165154276e-05
4.5557118805373715,2.0416685426014682,-5.528551385403091e-05
4.555668013041137,2.0270442688534667,-5.590326755333663e-05
4.555600074002265,2.0114478125384907,-5.5947137612477604e-05
4.555556118765912,1.994876265088914,-5.6504253221234535e-05
4.555487065495822,1.9773222251008578,-5.6484886591601224e-05
4.555443148992729,1.9587219546420145,-5.6983641055108336e-05
4.555373098213712,1.9390585281858195,-5.685637539842858e-05
4.555329436241932,1.9182906445111474,-5.7300040753105463e-05
4.555258498132206,1.8958484140799876,-5.7067013009337586e-05
4.555215302215913,1.870878967972951,-5.756964891601157e-05
4.555143358834374,1.842614242216984,-5.744679575947487e-05
4.555100408624394,1.810650251384556,-5.81343720171823e-05
4.55502709009034,1.7750425327136865,-5.82076645891938e-05
4.554983993295216,1.7362549536984226,-5.9229316231590445e-05
4.554908631457876,1.6949998274582017,-5.9651733066878876e-05
4.554864689829082,1.652069099316646,-6.121277527082469e-05
4.554786205907335,1.6081945498624544,-6.226322643421156e-05
4.554740163376214,1.5639973138658667,-6.472235001586668e-05
4.554656761207303,1.5200065348743257,-6.6813466790272e-05
4.554606536442633,1.4767380280926958,-7.067460913612322e-05
4.554515411989031,1.4347587005199174,-7.436831061768956e-05
4.554457799821398,1.3947112070881322,-8.028871245224778e-05
4.554354834564126,1.3572336959914342,-8.64092823666951e-05
4.554284981256664,1.3228456069799073,-9.543177281656767e-05
4.554163971018493,1.2918034556347926,-0.00010523906980264286
4.554074503117059,1.263975077071601,-0.0001189567024542093
4.553926057613585,1.2387710435263772,-0.00013433036348775573
4.553805842390084,1.2152529775955934,-0.00015494491843170977
4.553616167776721,1.1924060570988235,-0.00017847147474503444
4.5534488994405935,1.169531590550706,-0.00020915131069720871
4.553197865155327,1.1464194600793862,-0.0002446985471777907
4.552959502346238,1.1228792633828295,-0.0002902343983590683
4.552617396358609,1.0987320331568544,-0.0003436661895079851
4.552272169967222,1.0738727021465242,-0.00041124517166757357
4.551794906015274,1.0482281646810254,-0.0004912354926673856
4.551289698981887,1.0217705616700217,-0.0005910089727838574
4.550612888069706,0.9944823911594445,-0.0007089225114320641
4.549871853959023,0.9663683484831607,-0.0008566308276312107
4.5488996264144435,0.9374177964341851,-0.0010329974707423695
4.547805859017538,0.9077030849829374,-0.0012501508244890935
4.546399324765465,0.877243390983888,-0.001510585546205867
4.544784687925127,0.8458056170340517,-0.0018313945223851213
4.542736535720695,0.8130129598514367,-0.002217002200892715
4.540350683523341,0.7784649198195617,-0.002690475432621131
4.537355584855453,0.7418472241648411,-0.003260518619004671
4.533829646285332,0.7029849198792317,-0.003958921135888804
4.529437742583675,0.6618669195699406,-0.004801582209822186
4.524226481865687,0.6186387238455843,-0.0058334054350761555
4.517770931713523,0.5735844906914791,-0.00708153728016514
4.510063407305357,0.5271005303614473,-0.008609728148135432
4.500551475417252,0.4796694648747862,-0.010461568402391652
4.489140270500574,0.4318375677005919,-0.012727845736049126
4.475095783945154,0.38419456034454585,-0.015476904619673881
4.458186461261226,0.3373560180141257,-0.018840211366788928
4.437415361211576,0.291942369853155,-0.022924974231154582
4.412336512798917,0.24856061640772617,-0.027924348701021007
4.381566663809534,0.20777605866847684,-0.03400345531305904
4.344329602172799,0.17008180430094097,-0.04144520837249699
4.29867624706454,0.13586080232122713,-0.050496192790432826
4.243337216591933,0.10537432489189681,-0.06156774189131031
4.175540763281919,0.07876164744771796,-0.07502007036120872
4.093297075869516,0.056039189948136364,-0.09145485501227624
3.992631053257367,0.03705895877432514,-0.11138954145835545
3.870517992952805,0.021494459453923673,-0.1357092722895421
3.7212125086782826,0.008835562480337573,-0.16512343663662232
3.54027111967956,-0.0015740023743125472,-0.2009240518434059
3.319364404991471,-0.01047388689870205,-0.24401842756626135
3.0522342645470375,-0.01855907078921998,-0.2953786488341972
2.7286071073230764,-0.02636712680832768,-0.3400892387008905
2.3720557871452566,-0.034175144230442336,-0.39292461215786323
1.94275788300735,-0.04226021147393886,-0.5099319475125705
1.3521918921201155,-0.05115989879441377,-0.6919632256899289
0.5588314316274923,-0.06156918194831134,-0.8956597344068946
-0.43912757669367364,-0.07422770780800632,-1.0823124954801924
-1.6057935593328927,-0.08979174143851137,-1.2257567409328156
-2.890641058559305,-0.10877140792019992,-1.3147103568730902
-4.235214273079073,-0.13149319916635285,-1.347417330193167
-5.585475718945639,-0.15810510923000368,-1.330336129598599
