planar,macroscopic
6.012703411643675,6.0126830323726965
6.0126738541745,6.012678370235199
6.012693720567543,6.012673345647867
6.012664129757094,6.012668663241568
6.012683975769135,6.012663618499806
6.01265435246681,6.012658916117155
6.012674179717311,6.012653851262381
6.0126445383436,6.01264912883493
6.012664347927798,6.012644043799478
6.012634679269267,6.012639301342834
6.01265447433534,6.012634196337594
6.012624787527965,6.0126294339556585
6.01264457188168,6.012624308964198
6.01261487593285,6.012619526671152
6.012634643729979,6.012614381557969
6.012604921701152,6.012609579115505
6.0126246706872095,6.012604413870096
6.012594913029048,6.012599591410957
6.012614636291429,6.01259440616317
6.012584868309629,6.012589563739724
6.012604581469231,6.01258435849201
6.012574801237638,6.012579496006405
6.012594506379848,6.0125742705721406
6.01256470792776,6.0125693879143824
6.012584390224737,6.01256414236472
6.012554569859566,6.012559239679813
6.012574221972744,6.012553974103613
6.012544371396586,6.0125490513924165
6.01256400161722,6.012543765788827
6.012534128169847,6.01253882296245
6.012553740193391,6.012533517186466
6.012523858706244,6.012528554173794
6.012543458509126,6.01252322833545
6.012513566897294,6.012518245323099
6.01253315639603,6.012512899520206
6.012503239032622,6.012507896505723
6.0125227929254565,6.012502530685898
6.012492856728592,6.012497507539411
6.012512384566493,6.012492121569945
6.012482431790995,6.012487078302
6.012501950513831,6.012481672421211
6.012471987001049,6.012476609167282
6.012491487595663,6.012471183360958
6.012461509541543,6.012466100137431
6.012480982874136,6.012460654301606
6.01245098712725,6.012455550897653
6.0124704424148785,6.012450085016794
6.012440427880653,6.012444961500091
6.01245985070003,6.012439475642673
6.012429815761086,6.012434331971802
6.012449205265346,6.012428825845325
6.012419149189829,6.012423661768385
6.012438525378929,6.012418135247743
6.012408463598001,6.0124129506091
6.0124278191683755,6.0124074037501085
6.012397744813051,6.012402198752242
6.012417074214863,6.012396631725485
6.012386977367023,6.012391406340329
6.012406277633719,6.012385818866073
6.0123761708235826,6.0123805727749104
6.012395449764347,6.012374964627349
